experiment_id,type,started_at,ended_at,status,title,device,git_commit,path
EXP-0001,trace-analysis,2026-09-08T17:00:25+08:00,2026-09-08T19:26:02+08:00,completed,V100 random 1024x256 expert activation dataset,Tesla V100-SXM2-16GB GPU-49f8dc6e-3362-d9b2-d1da-8755345e8f96,fdf52e5e1962eb6d70f06f038cef09df7818bf48,records/trace-analysis/EXP-0001__20260908T170025+0800__v100-random-1024x256-expert-activation-dataset
EXP-0002,prefetch-predictor,2026-09-09T10:32:44+08:00,2026-09-09T10:43:14+08:00,completed,V100 EmbeddedRouteMLP v0001 default t8 k4 seed0,Tesla V100-SXM2-16GB GPU-49f8dc6e-3362-d9b2-d1da-8755345e8f96,a639034c4aa276bba9858bab2effdbdb825c9c7d,records/prefetch-predictor/EXP-0002__20260909T103244+0800__v100-embeddedroutemlp-v0001-default-t8-k4-seed0
EXP-0003,prefetch-predictor,2026-09-09T11:51:33+08:00,2026-09-09T11:57:15+08:00,completed,V100 frozen EmbeddedRouteMLP top-k 8 16 24 32,Tesla V100-SXM2-16GB GPU-49f8dc6e-3362-d9b2-d1da-8755345e8f96,4059b1c33db499e7c9f349b0b3a9a1ea27c40cb0,records/prefetch-predictor/EXP-0003__20260909T115133+0800__v100-frozen-embeddedroutemlp-top-k-8-16-24-32
EXP-0004,trace-analysis,2026-09-09T14:35:37+08:00,2026-09-09T14:45:55+08:00,completed,Random-k cross-request unique experts per layer,Offline analysis of V100 GPU-49f8dc6e-3362-d9b2-d1da-8755345e8f96 trace dataset,1c6f6f75ffe674c7b62f870d574e1ce4a7ea7b84,records/trace-analysis/EXP-0004__20260909T143537+0800__random-k-cross-request-unique-experts-per-layer
EXP-0005,prefetch-predictor,2026-09-09T14:48:20+08:00,2026-09-09T14:59:16+08:00,completed,Held-out batch-union EmbeddedRouteMLP B1-16 K8-32,Offline analysis of V100 GPU-49f8dc6e-3362-d9b2-d1da-8755345e8f96 artifacts,1c6f6f75ffe674c7b62f870d574e1ce4a7ea7b84,records/prefetch-predictor/EXP-0005__20260909T144820+0800__held-out-batch-union-embeddedroutemlp-b1-16-k8-32
EXP-0006,io-pipeline,2026-09-10T14:42:52+08:00,2026-09-10T14:54:42+08:00,completed,V100 resident PP decode window and pinned H2D capacity,Tesla V100-SXM2-16GB GPU-49f8dc6e-3362-d9b2-d1da-8755345e8f96 (measured); RTX 4070 SUPER GPU-75341d61-b0b3-969b-8ef8-4b750d11ade4 (PP front only),0ff9268cf4da181547c6de1e75e88d93d05d33f2,records/io-pipeline/EXP-0006__20260910T144252+0800__v100-resident-pp-decode-window-and-pinned-h2d-capacity
EXP-0007,prefetch-policy,2026-09-10T19:17:07+08:00,2026-09-10T19:35:58+08:00,completed,V100 layered LRU mock prefetch overlap validation,V100 GPU-49f8dc6e-3362-d9b2-d1da-8755345e8f96,9856014ec48a03904fd62523c62807f07189bf2d,records/prefetch-policy/EXP-0007__20260910T191707+0800__v100-layered-lru-mock-prefetch-overlap-validation
EXP-0008,prefetch-policy,2026-09-10T19:50:42+08:00,2026-09-10T19:59:00+08:00,completed,V100 perfect Top-8 mock prefetch lead 8,Tesla V100-SXM2-16GB GPU-49f8dc6e-3362-d9b2-d1da-8755345e8f96,eb965adef81b3655f51d29155a5f47e82f566f9e,records/prefetch-policy/EXP-0008__20260910T195042+0800__v100-perfect-top-8-mock-prefetch-lead-8
EXP-0009,io-pipeline,2026-09-11T01:16:40+08:00,2026-09-11T01:30:06+08:00,completed,V100 PCIe4 x16 SSD-CPU-GPU bandwidth after reinstall,Tesla V100-SXM2-16GB GPU-49f8dc6e-3362-d9b2-d1da-8755345e8f96,a5f26cd5ec8d91f3add35c2130e3d1248861de7a,records/io-pipeline/EXP-0009__20260911T011640+0800__v100-pcie4-x16-ssd-cpu-gpu-bandwidth-after-reinstall
EXP-0010,prefetch-policy,2026-09-11T01:37:58+08:00,2026-09-11T01:47:01+08:00,completed,V100 perfect Top-8 mock prefetch lead 1,Tesla V100-SXM2-16GB GPU-49f8dc6e-3362-d9b2-d1da-8755345e8f96,a5f26cd5ec8d91f3add35c2130e3d1248861de7a,records/prefetch-policy/EXP-0010__20260911T013758+0800__v100-perfect-top-8-mock-prefetch-lead-1
